PersonID,Age,OccupationStatus,OccupationStatus_OS,Employed,Unemployed,Homemaker,Student,Retired,Disabled,OtherOcc,MultiOcc,ActiveDutyArmedForces,ReceivedCareVA,MaritalStatus,Education,BornInUSA,YearCameToUSA,SpeakEnglish,NotHisp,Mexican,PuertoRican,Cuban,OthHisp,Hisp_Cat,White,Black,AmerInd,AsInd,Chinese,Filipino,Japanese,Korean,Vietnamese,OthAsian,Hawaiian,Guamanian,Samoan,OthPacIsl,Race_Cat2,SexualOrientation,SexualOrientation_OS,TotalHousehold,R_HHAdults,HHAdults_Num,SelfGender,SelfAge,SelfMOB,HHAdultGender2,HHAdultAge2,HHAdultMOB2,HHAdultGender3,HHAdultAge3,HHAdultMOB3,HHAdultGender4,HHAdultAge4,HHAdultMOB4,HHAdultGender5,HHAdultAge5,HHAdultMOB5,ChildrenInHH,RentOrOwn,CellPhone,PhoneInHome,IncomeRanges,MailSurveyTime_Min,MailSurveyTime_Hrs,TypeOfAddressA,TypeOfAddressB,TypeOfAddressC,TypeOfAddressD
60000046-01,64,1,-1,1,2,2,2,2,2,2,1,5,-1,1,6,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,1,64,6,2,64,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,6,30,-1,1,2,2,2
60000053-01,50,1,-1,1,2,2,2,2,2,2,1,5,-1,1,3,1,-1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-1,2,2,2,2,50,7,1,56,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,6,-1,2,1,2,1,2
60000054-01,63,1,-1,1,2,2,2,2,2,2,1,5,-1,1,7,1,-1,-9,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,3,3,3,1,63,1,2,60,12,1,32,1,-1,-1,-1,-1,-1,-1,0,1,1,1,8,30,-1,1,2,2,2
60000055-02,43,1,-1,1,2,2,2,2,2,2,1,5,-1,1,6,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,5,2,2,1,43,6,2,43,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,1,1,8,15,-1,1,2,2,2
60000060-01,43,1,-1,1,2,2,2,2,2,2,1,5,-1,6,5,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,4,4,4,1,43,2,1,32,2,1,62,5,2,60,6,-1,-1,-1,0,3,1,1,5,25,-1,1,2,2,2
60000063-01,72,5,-1,2,2,2,2,1,2,2,1,5,-1,1,7,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,3,3,3,2,-9,5,1,-9,8,1,-9,7,-1,-1,-1,-1,-1,-1,0,1,1,1,8,30,-1,1,2,2,2
60000072-01,63,6,-1,2,2,2,2,2,1,2,1,5,-1,3,3,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,2,63,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,30,-1,1,2,1,2
60000073-01,60,1,-1,1,2,2,2,2,2,2,1,5,-1,1,7,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,1,60,7,2,59,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,8,35,-1,1,2,2,2
60000074-01,65,1,-1,1,2,2,2,2,2,2,1,5,-1,1,6,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,2,65,6,1,65,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,6,-1,1,1,2,2,2
60000081-02,44,1,-1,1,2,2,2,2,2,2,1,5,-1,1,3,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,3,2,2,1,44,1,2,39,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,4,35,1,1,2,2,2
60000085-01,83,5,-1,2,2,2,2,1,2,2,1,5,-1,4,2,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,2,83,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,1,2,30,-1,1,2,2,2
60000087-01,80,5,-1,2,2,2,2,1,2,2,1,5,-1,-9,6,1,-1,1,1,2,2,2,2,10,2,1,2,2,2,2,2,2,2,2,2,2,2,2,12,1,-1,2,2,2,2,80,1,1,43,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,5,40,-1,1,2,2,2
60000088-01,72,1,-1,1,2,2,2,2,2,2,1,5,-1,3,3,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,1,72,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,5,-9,-9,1,2,2,2
60000096-02,55,6,-1,2,2,2,2,2,1,2,1,5,-1,1,3,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,6,2,2,1,55,4,2,44,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,1,1,2,30,-1,1,2,2,2
60000097-01,59,5,-1,2,2,2,2,1,2,2,1,5,-1,1,7,1,-1,-9,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,3,3,3,2,59,8,1,59,8,1,29,10,-1,-1,-1,-1,-1,-1,0,2,1,2,8,15,-1,1,2,2,2
60000098-01,67,3,-1,2,2,1,2,2,2,2,1,5,-1,1,6,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,3,3,2,67,-9,1,41,-9,2,27,-9,-1,-1,-1,-1,-1,-1,0,1,1,1,8,30,-1,1,2,2,2
60000099-03,52,2,-1,2,1,2,2,2,2,2,1,5,-1,6,6,1,-1,1,1,2,2,2,2,10,2,1,2,2,2,2,2,2,2,2,2,2,2,2,12,1,-1,1,1,1,1,52,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,2,1,20,-1,1,2,2,2
60000100-01,80,5,-1,2,2,2,2,1,2,2,1,4,-2,1,7,1,-1,1,-9,-9,-9,-9,-9,-9,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,4,4,4,1,80,-9,2,76,-9,1,53,-9,-1,-1,-1,-1,-1,-1,0,1,1,1,5,45,-1,1,2,2,2
60000104-01,48,1,-1,1,2,2,2,2,2,2,1,5,-1,2,7,1,-1,1,2,2,2,1,1,25,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,2,48,5,1,49,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,2,9,25,-1,1,2,2,2
60000106-01,73,5,-1,2,2,2,2,1,2,2,1,5,-1,1,6,1,-1,1,1,2,2,2,2,10,2,1,2,2,2,2,2,2,2,2,2,2,2,2,12,1,-1,2,2,2,2,73,5,1,69,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,5,20,-1,1,2,2,2
60000110-01,70,5,-1,2,2,2,2,1,2,2,1,5,-1,1,7,2,1970,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,1,70,4,2,71,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,7,30,-1,1,2,2,2
60000111-02,53,1,-1,1,2,2,2,2,2,2,1,3,3,6,6,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,2,53,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,9,10,-1,1,2,1,2
60000114-01,67,1,-1,1,2,2,2,2,2,2,1,5,-1,1,6,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,1,67,7,2,64,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,9,28,-1,1,2,2,2
60000120-02,50,6,-1,2,2,2,2,2,1,2,1,5,-1,6,3,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,2,50,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,3,15,-1,2,1,2,2
60000121-01,75,5,-1,2,2,2,2,1,2,2,1,5,-1,3,3,1,-1,2,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,1,75,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,2,2,42,-1,1,2,2,2
60000122-02,65,-5,-1,1,2,2,2,1,2,2,2,5,-1,3,5,1,-1,-9,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,1,65,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,4,45,-1,1,2,2,2
60000125-01,35,1,-1,1,2,2,2,2,2,2,1,5,-1,1,6,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,4,2,2,1,35,9,2,34,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,9,20,-1,1,2,2,2
60000126-01,50,1,-1,1,2,2,2,2,2,2,1,5,-1,1,7,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,4,4,4,2,49,9,1,23,1,1,18,3,-1,-1,-1,-1,-1,-1,0,1,1,1,8,10,-1,1,2,2,2
60000130-02,60,1,-1,1,2,2,2,2,2,2,1,5,-2,1,5,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,1,60,8,2,54,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,7,30,-1,1,2,2,2
60000133-01,53,1,-1,1,2,2,2,2,2,2,1,5,-1,1,7,2,1989,1,1,2,2,2,2,10,2,2,2,2,1,2,2,2,2,2,2,2,2,2,32,1,-1,4,3,3,1,53,5,2,52,12,-9,75,3,-1,-1,-1,-1,-1,-1,1,1,1,1,9,20,-1,1,2,2,2
60000135-03,57,1,-1,1,2,2,2,2,2,2,1,5,-1,1,6,2,1977,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,3,2,2,1,57,6,2,55,9,2,-4,4,-1,-1,-1,-1,-1,-1,1,1,1,2,9,15,-1,1,2,2,2
60000141-03,47,1,-1,1,2,2,2,2,2,2,1,5,-1,1,5,2,1993,3,1,2,2,2,2,10,2,2,2,2,2,2,2,2,1,2,2,2,2,2,36,1,-1,5,2,2,1,47,1,2,33,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,1,1,3,-1,1,1,2,2,2
60000142-01,59,1,-1,1,2,2,2,2,2,2,1,5,-1,1,4,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,3,3,3,2,59,2,1,61,11,1,35,12,-1,-1,-1,-1,-1,-1,0,1,1,1,8,10,-1,1,2,2,2
60000145-01,42,3,-1,2,2,1,2,2,2,2,1,5,-1,1,5,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,4,2,2,2,42,5,1,40,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,5,30,-1,1,2,2,2
60000147-01,28,3,-1,2,2,1,2,2,2,2,1,5,-1,1,5,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,5,2,2,2,28,3,1,29,10,1,-4,5,2,-4,10,1,-4,12,3,1,1,2,6,15,-1,1,2,2,2
60000150-01,64,5,-1,2,2,2,2,1,2,2,1,5,-1,6,7,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,2,64,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,6,25,-1,1,2,2,2
60000153-02,21,1,-1,1,2,2,2,2,2,2,1,1,2,1,5,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,1,21,6,2,20,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,1,5,-9,-9,-9,-9,-9,-9
60000157-01,89,5,-1,2,2,2,2,1,2,2,1,5,-2,4,2,2,1958,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,2,89,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,3,10,-1,1,2,2,2
60000159-02,37,1,-1,1,2,2,2,2,2,2,1,5,-1,1,7,1,-1,1,1,2,2,2,2,10,2,1,2,2,2,2,2,2,2,2,2,2,2,2,12,1,-1,4,2,2,2,37,10,1,39,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,8,25,-1,1,2,2,2
60000161-01,38,1,-1,1,2,2,2,2,2,2,1,5,-1,1,6,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,2,38,5,1,39,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,6,26,-1,1,2,2,2
60000163-03,-9,-9,-6,-9,-9,-9,-9,-9,-9,-9,0,-9,-6,-9,-9,-9,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-6,-9,1,1,-9,-9,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9,-9,-9,-9,2,-1,1,2,1,2,2
60000164-02,66,1,-1,1,2,2,2,2,2,2,1,3,3,1,6,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,1,66,10,2,60,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,7,15,0,1,2,2,2
60000169-02,33,1,-1,1,2,2,2,2,2,2,1,5,-1,1,6,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,3,2,2,2,33,8,1,33,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,8,30,-1,1,2,2,2
60000173-01,33,1,-1,1,2,2,2,2,2,2,1,5,-1,1,7,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,3,2,2,2,33,6,1,32,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,7,35,-1,1,2,2,2
60000190-01,43,1,-1,1,2,2,2,2,2,2,1,3,3,1,3,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,6,3,3,1,43,4,2,41,3,2,19,12,1,-4,7,1,-4,1,3,1,1,2,7,25,0,2,2,1,2
60000193-01,58,6,-1,2,2,2,2,2,1,2,1,5,-1,6,4,1,-1,2,-9,-9,-9,-9,-9,-9,2,1,2,2,2,2,2,2,2,2,2,2,2,2,12,1,-1,2,2,2,1,58,4,2,65,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9,1,2,1,5,-1,2,1,2,2,2
60000196-03,47,1,-1,1,2,2,2,2,2,2,1,5,-1,1,4,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,1,47,7,2,44,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,7,30,-1,1,2,2,2
60000198-02,71,5,-1,2,2,2,2,1,2,2,1,-9,-6,1,5,1,-1,2,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,-9,-9,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,6,23,-1,1,2,2,2
60000201-01,82,5,-1,2,2,2,2,1,2,2,1,-9,3,4,5,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,2,82,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9,1,1,1,5,-1,1,1,2,2,2
60000207-01,53,1,-1,1,2,2,2,2,2,2,1,5,-1,2,5,2,1983,2,1,2,2,2,2,10,2,2,2,2,1,2,2,2,2,2,2,2,2,2,32,1,-1,2,2,2,2,53,10,1,59,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,6,20,-1,1,2,2,2
60000208-01,72,5,-1,2,2,2,2,1,2,2,1,5,-1,1,5,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,2,72,4,1,69,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,5,30,-1,1,2,2,2
60000212-01,64,91,SEMI-RETIRED,2,2,2,2,2,2,1,1,5,-1,1,7,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,1,64,9,2,66,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,7,15,-1,1,2,2,2
60000215-01,63,1,-1,1,2,2,2,2,2,2,1,5,-1,1,6,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,3,3,3,1,63,3,2,59,9,2,22,3,-1,-1,-1,-1,-1,-1,0,1,1,1,9,20,-1,1,2,2,2
60000217-01,67,5,-1,2,2,2,2,1,2,2,1,5,-1,6,7,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,2,67,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,6,20,-1,1,2,2,2
60000218-01,76,5,-1,2,2,2,2,1,2,2,1,5,-1,1,7,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,2,76,7,1,78,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,8,30,0,1,2,2,2
60000219-01,77,5,-1,2,2,2,2,1,2,2,1,5,-1,4,4,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,2,77,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,5,25,-1,1,2,2,2
60000221-03,44,1,-1,1,2,2,2,2,2,2,1,5,-1,1,5,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,4,3,3,2,44,3,1,50,10,1,20,11,2,-4,2,-1,-1,-1,1,1,1,1,8,-9,-9,1,2,2,2
60000222-01,58,1,-1,1,2,2,2,2,2,2,1,5,-1,1,7,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,1,58,5,2,58,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,-9,15,-1,1,2,2,2
60000224-01,70,5,-1,2,2,2,2,1,2,2,1,5,-1,3,7,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,1,70,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,7,30,0,1,2,2,2
60000227-01,91,5,-1,2,2,2,2,1,2,2,1,5,-1,4,3,1,-1,2,1,1,1,1,1,25,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,2,91,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,7,15,-1,1,2,2,2
60000231-02,54,6,-1,2,2,2,2,2,1,2,1,5,-1,4,5,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,4,3,3,2,54,1,2,24,8,2,86,8,-1,-1,-1,-1,-1,-1,1,2,1,2,3,1,1,1,2,2,2
60000232-01,54,1,-1,1,2,2,2,2,2,2,1,5,-1,1,7,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,3,3,3,1,54,3,2,56,11,1,24,10,-1,-1,-1,-1,-1,-1,0,1,1,1,9,25,-1,1,2,2,2
60000235-01,61,1,-1,1,2,2,2,2,2,2,1,4,-2,1,6,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,2,61,6,1,58,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,3,20,-1,1,2,2,2
60000237-01,-9,5,-1,2,2,2,2,1,2,2,1,5,-2,3,5,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,-9,1,1,-9,-9,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9,1,1,1,2,30,-1,1,2,2,2
