PersonID,UseMenuCalorieInfo,Fruit,Vegetables,AlcoholConditions_Cancer,AlcoholConditions_HeartDisease,AlcoholConditions_Diabetes,AlcoholConditions_Cholesterol,AlcoholConditions_LiverDisease,AlcoholConditions_Overweight,AlcoholIncreaseCancer,AlcoholReduceHeart
60000110-01,3,3,3,1,2,2,2,1,1,1,1
60000111-02,1,3,3,1,1,1,2,1,1,2,2
60000114-01,2,4,2,2,2,2,2,1,2,3,2
60000120-02,5,0,0,3,3,3,3,1,3,2,2
60000121-01,3,2,2,2,1,1,1,1,1,2,4
60000122-02,4,1,2,2,3,3,3,1,1,3,3
60000125-01,2,2,2,1,1,2,2,1,1,2,3
60000126-01,4,3,3,1,1,1,2,1,1,2,2
60000130-02,3,2,3,2,2,2,2,1,1,4,2
60000133-01,4,3,4,1,1,1,1,1,1,1,2
60000135-03,2,3,5,1,1,1,1,1,1,1,3
60000141-03,3,2,2,3,3,3,3,1,3,2,2
60000142-01,5,4,5,1,1,1,1,1,1,2,2
60000145-01,2,2,4,3,1,3,2,1,1,3,2
60000147-01,2,3,4,1,3,3,3,1,1,2,2
60000150-01,5,3,4,1,1,3,3,1,1,2,2
60000153-02,4,0,0,2,2,3,1,1,1,3,3
60000157-01,5,2,2,3,2,2,2,1,2,3,3
60000159-02,3,4,4,2,2,3,3,1,1,4,2
60000161-01,3,3,3,1,1,1,1,1,1,1,2
60000163-03,4,1,2,3,3,3,3,3,3,4,2
60000164-02,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
60000169-02,5,3,3,1,3,1,3,1,1,2,2
60000173-01,3,3,3,1,1,3,3,1,1,1,3
60000190-01,4,0,1,1,1,1,1,1,1,1,3
60000193-01,5,1,0,3,2,3,3,3,3,3,3
60000196-03,4,2,4,2,2,1,2,1,1,3,3
60000198-02,3,5,4,1,1,1,1,1,1,1,3
60000201-01,3,3,3,2,1,2,1,1,2,3,2
60000207-01,1,3,4,1,1,1,1,1,1,1,3
60000208-01,2,1,1,3,3,3,3,1,1,3,4
60000212-01,2,3,3,2,2,2,2,1,1,3,3
60000215-01,4,3,1,3,3,3,-9,1,1,2,3
60000217-01,3,5,4,1,1,3,3,1,3,2,1
60000218-01,1,3,3,2,1,2,2,1,2,4,2
60000219-01,2,3,2,1,3,1,1,1,1,1,2
60000221-03,2,3,3,3,3,3,3,1,3,4,4
60000222-01,4,2,2,2,3,3,2,1,1,3,1
60000224-01,4,0,1,3,3,3,3,3,3,2,3
60000227-01,5,2,1,3,3,3,3,1,1,-9,-9
60000231-02,2,1,1,1,1,1,1,1,1,1,4
60000232-01,3,2,2,2,2,3,3,1,1,4,2
60000235-01,3,3,3,1,3,1,3,1,1,1,2
60000237-01,5,4,5,3,3,3,3,3,3,-9,-9
60000238-01,1,4,4,1,1,3,3,1,3,2,3
60000241-02,5,1,1,3,1,3,3,1,3,2,2
60000243-01,5,3,4,2,1,1,2,1,1,3,3
60000244-01,3,1,2,2,2,2,2,2,2,4,4
60000245-01,4,1,3,3,3,3,3,1,3,2,2
60000248-01,3,2,3,3,3,3,3,1,1,3,2
60000256-02,3,3,3,3,1,3,3,1,1,2,1
60000262-01,2,3,3,1,1,1,1,1,1,1,4
60000264-01,3,2,2,2,2,2,2,1,2,4,3
60000265-01,3,4,2,3,3,3,3,3,3,1,-9
60000267-01,3,1,3,3,3,3,3,1,1,-9,2
60000274-01,3,3,2,-9,-9,-9,-9,1,1,2,3
60000275-01,1,2,2,1,1,1,1,1,1,2,2
60000281-01,5,3,5,1,1,3,3,1,1,1,2
60000288-03,3,0,1,3,3,3,3,3,1,3,3
60000295-01,3,4,4,3,3,3,3,3,3,2,-9
60000296-01,3,2,2,1,2,1,2,1,1,2,2
60000299-01,2,3,3,1,1,1,1,1,1,1,4
60000301-01,1,3,4,2,1,1,1,1,1,4,1
60000305-01,2,5,4,3,1,1,2,1,1,3,3
60000306-02,5,0,1,2,2,1,2,1,1,4,2
60000308-01,3,2,4,1,1,1,3,1,1,1,3
60000310-01,3,1,1,3,3,1,2,1,1,3,2
60000311-02,3,3,4,3,1,1,2,1,1,3,2
60000318-01,5,0,2,1,1,1,2,1,2,2,2
60000323-01,3,3,3,3,3,3,3,1,1,2,3
60000324-01,3,2,3,1,1,2,2,1,1,1,3
60000329-01,4,0,0,1,1,1,1,1,1,2,2
60000332-01,5,1,2,1,1,1,1,1,1,2,2
60000333-03,4,1,1,3,3,3,3,1,3,3,3
60000334-02,4,2,3,1,1,3,3,1,3,2,2
60000335-01,4,4,4,1,1,1,1,1,1,2,2
60000340-01,5,1,2,1,1,1,1,1,3,2,2
60000345-01,5,3,5,2,1,1,1,1,1,3,2
60000348-01,5,3,3,3,3,3,3,-5,3,3,4
60000350-02,4,2,3,3,3,3,3,1,1,3,2
60000355-01,4,2,4,3,3,3,3,3,3,3,2
60000358-01,3,4,4,3,3,3,1,1,1,2,2
60000360-01,3,4,4,1,1,1,1,1,1,2,3
60000363-01,3,3,3,-9,2,2,2,1,1,3,2
60000366-01,4,4,4,3,1,3,3,1,3,3,2
60000367-01,5,0,2,3,3,3,3,1,1,4,2
60000370-01,3,2,0,3,3,3,3,3,3,2,2
60000371-02,4,3,4,3,3,3,3,1,1,2,2
60000373-01,1,6,3,1,1,2,2,1,1,2,2
60000378-02,3,3,3,3,3,1,1,1,1,3,2
60000379-01,4,1,3,3,1,1,3,1,1,2,2
60000382-03,5,3,3,3,1,1,3,1,3,3,3
60000383-01,2,4,4,2,2,2,2,1,1,4,3
60000388-01,3,3,3,1,1,2,2,1,1,1,3
60000390-01,3,4,2,3,3,1,2,1,3,3,3
60000394-01,5,4,4,2,1,2,2,1,1,3,2
60000395-01,1,3,4,1,1,1,1,1,1,2,3
60000398-01,4,1,2,3,1,1,1,1,3,2,2
60000408-01,4,0,2,3,3,3,3,1,3,3,3
60000410-01,4,6,3,3,1,1,1,1,1,3,2
60000412-03,4,0,3,3,1,1,2,1,1,3,3
60000423-01,4,2,3,1,3,3,3,1,1,2,2
60000425-01,5,6,4,1,1,1,2,1,1,2,2
60000428-01,4,3,1,3,3,3,3,1,3,4,2
60000435-02,4,1,2,3,3,3,3,3,3,3,3
60000438-03,3,1,4,3,3,3,3,1,1,3,2
60000444-01,2,3,4,2,1,1,1,1,1,3,3
60000448-01,3,3,3,3,1,3,2,1,3,3,2
60000451-01,5,3,3,3,3,3,3,1,1,2,2
60000454-02,5,2,4,1,1,1,3,1,2,1,4
60000459-01,4,0,0,2,2,2,2,2,2,3,3
60000460-01,1,5,2,3,3,3,1,1,1,4,2
60000464-01,4,2,1,2,3,3,3,1,1,3,2
60000465-01,4,4,3,1,1,1,1,1,1,1,4
60000466-01,2,4,5,1,1,3,3,1,1,1,3
60000470-03,2,4,3,1,1,2,2,1,1,2,2
60000482-01,2,1,3,1,1,1,3,1,1,2,3
60000484-03,3,1,4,3,3,3,2,1,1,-9,-9
60000485-01,5,2,5,2,2,3,2,1,2,3,2
60000486-01,2,3,1,1,2,2,2,1,2,2,2
60000488-02,2,2,2,1,1,1,1,1,2,1,1
60000489-01,2,3,4,3,1,3,2,1,1,3,2
60000490-01,2,3,2,3,3,3,3,1,1,2,4
60000491-02,1,3,3,3,1,1,3,1,1,2,2
60000492-01,4,2,3,-9,3,-9,-9,3,-9,4,3
60000493-03,2,3,2,1,1,1,1,1,1,1,3
60000494-01,2,3,4,1,1,1,2,1,2,2,4
60000498-01,5,1,3,2,1,2,1,1,1,3,3
60000500-01,4,1,2,1,3,3,2,1,1,2,3
60000501-01,2,3,3,3,1,1,1,1,1,2,2
60000502-01,2,3,1,3,3,3,3,1,3,2,2
60000504-01,3,3,3,2,3,1,1,1,1,4,4
60000509-01,4,0,3,-9,1,-9,1,1,-9,1,2
60000511-01,4,5,4,2,2,2,2,1,1,3,2
60000513-01,4,1,3,3,2,2,1,1,1,3,2
60000514-01,2,1,2,3,3,3,3,3,3,2,2
60000515-03,5,6,6,2,2,2,1,1,1,2,2
60000518-03,4,3,4,1,1,3,3,1,1,1,2
60000519-01,5,2,3,1,-9,-9,-9,1,-9,1,2
60000520-01,5,2,3,3,2,2,2,1,1,2,1
60000526-02,3,5,3,1,1,1,1,1,1,2,1
60000531-01,1,3,3,2,2,1,1,1,1,4,2
60000532-03,3,4,4,3,3,3,3,3,1,3,2
60000534-01,5,3,3,3,1,3,3,1,1,2,3
60000536-01,2,6,6,1,2,2,2,1,1,2,3
60000537-01,5,0,0,-9,-9,-9,-9,-9,1,4,4
60000538-01,3,0,2,3,3,3,2,1,1,3,2
60000539-01,4,1,2,1,1,1,1,1,1,1,4
60000540-01,5,2,3,1,1,1,1,1,1,3,3
60000541-01,4,2,2,3,3,3,3,3,3,2,3
60000550-01,4,1,1,1,1,1,1,1,1,1,3
60000552-01,1,3,4,1,1,1,2,1,2,1,4
60000553-01,3,3,3,2,2,3,3,1,3,4,2
60000554-01,3,3,5,1,3,1,2,1,1,3,3
60000559-02,5,2,2,3,3,3,3,1,1,4,4
60000562-01,5,0,0,1,1,1,1,1,1,1,1
60000563-01,2,3,3,3,1,1,3,1,1,3,2
60000564-01,4,2,3,3,-9,-9,-9,-9,-9,4,4
60000567-03,5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
60000568-02,2,2,2,1,1,1,3,1,1,1,1
60000574-01,3,2,2,3,1,1,1,1,1,2,2
60000578-03,4,3,3,1,1,1,1,1,1,2,2
60000581-02,3,4,1,2,2,1,2,1,1,4,2
60000586-01,5,4,5,1,1,1,2,1,1,1,4
60000587-01,4,4,3,2,2,2,1,1,1,3,2
60000588-01,5,3,1,2,1,2,2,1,1,3,2
60000590-02,4,2,1,2,3,3,2,3,3,3,2
60000593-01,3,1,1,3,3,3,2,1,1,3,2
60000595-02,4,3,3,1,1,3,3,1,1,2,2
60000601-01,4,2,2,1,3,3,1,1,1,3,2
60000602-01,1,4,4,3,1,3,2,1,2,-5,2
60000604-01,5,2,2,3,3,3,3,1,3,2,2
60000608-03,2,4,4,3,1,3,2,1,1,4,3
60000614-01,5,3,3,3,2,2,2,1,2,4,2
60000616-03,3,3,2,3,1,1,1,1,1,3,2
60000619-01,4,0,3,2,2,2,2,2,2,4,4
60000620-02,3,4,4,2,3,1,3,1,1,3,4
60000622-02,3,4,6,2,3,3,1,3,1,2,2
60000629-01,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
60000631-01,3,2,3,1,1,1,1,1,1,1,2
60000635-01,2,4,4,1,1,1,2,1,1,2,2
60000637-01,5,3,2,3,3,3,3,1,3,-9,-9
60000640-01,3,2,3,1,2,1,2,1,1,2,2
60000641-01,5,0,3,3,3,3,3,1,3,1,1
60000643-03,4,1,2,3,3,3,3,3,1,3,2
60000647-02,2,1,6,1,1,3,3,1,1,2,3
60000651-01,1,3,4,1,1,1,1,1,1,2,2
60000652-01,3,3,3,2,2,2,2,1,2,4,1
60000654-01,3,3,3,2,2,2,2,1,2,4,2
60000655-01,5,1,1,3,3,1,3,3,3,4,3
60000656-03,2,2,3,1,1,1,1,1,1,2,2
60000657-01,5,3,2,2,2,1,3,1,1,4,3
60000661-01,2,3,3,3,3,3,3,1,1,3,3
60000662-01,5,2,3,3,1,3,3,1,1,2,2
60000665-01,3,4,5,2,1,1,1,1,1,3,2
60000669-03,5,1,3,3,1,3,3,3,3,3,2
60000676-02,2,4,3,3,3,3,3,3,3,3,3
60000677-01,4,0,1,3,1,1,3,1,1,3,3
60000679-01,3,3,3,3,1,3,1,1,1,2,2
60000680-01,2,5,4,2,1,2,2,1,1,2,2
60000685-01,5,0,4,1,1,1,1,1,1,1,3
60000704-01,5,2,3,2,1,1,3,1,1,4,2
60000715-01,5,1,3,1,1,1,1,1,1,1,1
60000716-01,3,2,3,3,3,3,3,3,3,2,4
60000717-01,4,3,5,1,1,1,2,1,1,1,2
60000718-02,3,4,5,3,3,3,3,3,3,4,4
60000723-01,3,3,3,3,1,1,1,1,2,2,2
60000724-01,5,5,5,1,1,1,1,1,1,2,3
60000725-01,2,4,3,3,1,3,3,1,1,2,2
60000726-01,3,1,1,2,2,3,3,1,1,3,2
60000727-01,4,2,4,3,3,3,3,1,1,-9,-9
60000733-01,3,2,3,-9,1,-9,-9,1,1,4,2
60000736-03,1,4,3,3,3,3,3,3,3,4,1
60000738-01,1,4,4,3,1,1,3,1,3,3,4
60000745-01,5,2,1,3,3,3,3,3,3,3,3
60000747-01,1,3,5,2,1,1,1,1,1,3,2
60000755-03,5,1,1,3,3,3,3,1,1,3,4
60000757-02,4,0,3,3,3,1,3,1,3,3,2
60000758-01,4,3,2,1,1,3,1,1,1,1,2
60000760-01,3,3,4,1,1,1,1,1,1,2,2
60000765-03,3,5,4,3,3,3,3,1,3,-9,-9
60000768-02,3,3,3,1,3,3,3,1,3,2,2
60000770-01,3,0,1,3,1,1,2,1,1,3,4
60000771-02,3,0,3,3,3,3,3,1,1,4,2
60000772-01,4,2,3,3,1,1,1,1,1,-9,4
60000774-01,3,3,2,2,1,3,3,1,1,3,1
60000777-01,3,3,5,2,2,1,2,1,1,2,4
60000778-02,3,2,3,2,3,1,1,1,3,4,2
60000785-02,5,1,5,1,1,3,3,1,1,1,2
60000786-01,4,2,3,1,1,1,1,1,1,2,3
60000787-01,4,1,2,2,1,1,1,1,1,4,3
60000788-02,2,0,5,-9,-9,-9,-9,1,-9,4,2
60000791-01,5,2,3,1,1,1,1,1,1,1,2
60000792-01,4,5,4,3,1,1,1,1,1,2,3
60000795-01,2,2,6,1,1,3,3,1,3,2,2
60000797-02,1,3,3,1,1,1,1,1,1,2,2
60000800-02,5,0,1,3,3,3,3,2,3,-9,2
60000801-01,5,2,4,3,3,3,3,1,1,3,2
60000802-01,3,1,2,1,1,1,3,1,1,2,3
60000804-01,2,4,6,1,1,3,2,1,3,2,2
60000806-01,5,1,2,3,3,3,3,1,3,3,3
60000807-02,1,3,4,2,2,1,2,1,1,3,4
60000809-02,2,4,5,3,3,1,3,1,1,3,1
60000820-03,4,6,6,1,1,1,1,1,1,2,2
60000826-02,2,2,3,2,2,1,1,1,1,4,2
60000831-01,3,3,4,1,1,1,1,1,1,1,2
60000838-01,3,3,3,3,2,2,2,1,1,3,2
60000841-01,2,2,3,-9,-9,-9,-9,-9,-9,-9,-9
60000842-03,4,2,1,1,1,1,1,1,1,2,4
60000843-01,3,6,6,2,2,2,2,1,1,3,4
60000845-02,5,2,5,3,3,3,3,1,1,3,2
60000851-01,1,2,3,1,1,1,1,1,1,2,2
60000853-01,1,2,2,3,1,1,1,1,1,3,3
60000856-02,2,3,1,1,1,2,3,1,2,1,2
60000860-01,4,5,5,1,3,3,3,1,1,2,2
60000861-01,3,1,0,3,3,1,3,1,1,2,1
60000862-01,2,3,3,3,1,2,1,1,1,3,2
60000863-01,3,1,1,3,3,3,3,3,3,3,3
60000866-01,4,4,5,3,2,1,1,1,1,2,4
60000868-02,5,5,5,1,1,1,1,1,1,2,2
60000869-01,4,1,2,1,1,3,3,1,1,2,4
60000872-01,5,1,0,2,2,1,1,1,1,4,1
60000879-01,2,3,3,2,2,2,2,1,1,2,2
60000880-01,1,2,3,3,1,1,1,1,1,2,4
60000883-01,1,2,4,2,1,2,2,1,1,3,3
60000884-01,3,3,2,3,3,3,3,1,1,1,3
60000893-01,4,3,3,1,1,1,2,1,1,3,2
60000899-01,5,1,1,2,1,1,1,1,1,4,1
60000902-03,2,1,3,1,1,1,1,1,1,2,2
60000909-01,2,2,3,1,3,3,3,1,1,2,2
60000921-01,2,5,4,1,1,1,1,1,1,2,2
60000922-01,5,-9,3,-9,-9,-9,-9,-9,-9,-9,-9
60000923-01,1,4,3,1,1,1,1,1,3,2,2
60000930-01,3,3,2,2,2,1,1,1,1,3,3
60000933-02,5,4,1,3,3,-5,3,-5,3,4,2
60000943-03,5,5,5,-9,-9,-9,-9,3,-9,2,3
60000944-01,4,0,1,1,1,3,3,1,1,2,3
60000946-01,3,2,4,1,3,3,3,1,1,2,3
60000951-01,5,3,2,2,2,1,-9,1,1,3,2
60000953-01,3,5,1,2,1,1,3,1,1,3,2
60000959-01,5,3,3,3,3,3,3,3,3,3,3
60000960-01,2,4,6,3,1,3,1,1,1,3,2
60000961-01,5,3,2,3,1,3,1,1,2,2,2
60000962-01,4,2,3,2,-9,-9,-9,-9,-9,-9,-9
60000964-01,5,0,0,3,3,3,1,1,1,2,4
60000965-02,3,3,4,3,1,3,1,1,1,2,2
60000968-01,1,1,3,3,3,3,3,1,1,2,2
60000970-01,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
60000971-01,2,4,3,3,3,3,3,1,3,-9,-9
60000973-03,3,2,3,1,1,1,2,1,1,2,2
60000976-02,3,3,2,1,1,1,2,1,1,2,2
60000977-02,3,2,3,1,1,1,1,1,1,2,3
60000979-01,4,3,2,1,1,1,1,1,1,2,2
60000980-01,2,3,3,1,1,1,2,1,1,2,1
60000981-01,4,2,2,3,3,3,3,3,3,2,4
60000987-01,3,1,3,1,1,1,2,1,1,2,2
60000988-01,3,2,1,3,1,1,1,1,1,3,3
60000990-03,3,3,3,1,1,1,-9,1,1,2,2
60000993-01,3,3,3,2,2,2,2,1,1,4,3
60000995-01,3,1,1,3,1,1,1,1,1,2,2
60000997-02,2,4,5,1,2,2,2,1,1,2,2
60001000-01,1,-9,4,1,1,1,1,1,1,3,2
60001004-02,3,3,1,1,1,1,1,1,1,1,3
60001007-01,2,4,4,1,1,1,2,1,1,2,2
60001008-01,1,3,2,2,2,1,2,1,1,2,1
60001012-02,5,1,4,1,3,1,1,1,1,1,4
60001013-01,5,2,3,3,3,3,3,1,3,3,2
60001015-01,4,1,1,1,3,3,2,1,3,1,3
60001017-01,5,2,0,1,3,1,3,1,3,2,2
60001019-01,5,0,0,-9,-9,-9,-9,1,1,3,2
60001021-01,2,2,3,2,1,1,3,1,1,4,3
60001026-01,3,-5,3,3,1,1,3,1,3,2,3
60001031-02,2,2,4,-9,-9,-9,-9,1,-9,4,2
60001032-01,5,1,1,1,1,1,3,1,1,2,4
60001033-01,2,4,1,3,1,3,3,1,3,2,3
60001037-01,1,0,1,3,3,3,1,1,1,3,2
60001040-02,1,2,5,1,1,-9,-9,1,-9,1,3
60001045-01,3,1,3,1,1,1,2,1,1,2,3
60001046-01,5,1,1,2,2,2,2,1,1,3,2
60001047-01,3,2,3,1,1,1,1,1,1,2,2
60001050-01,2,3,4,2,2,2,2,1,1,4,3
60001051-01,3,2,3,3,3,3,2,3,1,2,2
60001055-02,5,3,3,3,3,3,3,3,3,3,3
60001059-01,3,5,4,-9,-9,-9,-9,-9,-9,3,2
60001060-01,2,4,3,3,3,3,3,1,3,3,3
60001063-01,3,3,3,-9,-9,-9,-9,-9,-9,-9,-9
60001064-01,5,0,0,3,3,3,3,3,3,2,2
60001066-01,4,2,3,1,1,1,2,1,1,2,3
60001071-01,3,3,2,2,1,3,3,1,1,3,3
60001073-03,4,3,3,-9,-9,-9,-9,1,-9,3,2
60001074-01,1,0,5,1,1,1,1,1,1,3,2
60001081-01,5,1,0,2,2,2,2,1,1,3,2
60001082-01,1,4,6,3,3,3,3,1,1,3,3
60001086-01,3,3,4,2,2,2,2,1,1,4,3
60001089-01,5,5,5,-5,2,3,3,1,1,2,2
60001090-02,5,1,0,3,3,3,3,1,3,4,4
60001095-02,3,3,3,3,3,3,3,1,3,3,2
60001101-02,5,4,4,3,3,1,3,1,1,4,2
60001106-01,1,2,4,1,3,1,3,1,1,1,2
60001107-01,2,4,4,3,3,3,3,1,3,4,4
60001109-01,3,3,3,1,3,1,3,1,3,1,4
60001111-02,5,5,5,1,1,1,1,1,1,3,2
60001115-01,2,3,3,2,1,1,2,1,1,3,2
60001118-02,1,0,4,3,3,3,3,3,3,2,2
60001120-01,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
60001124-01,2,4,4,2,1,3,3,1,2,4,2
60001125-01,2,1,5,2,2,2,2,1,2,3,3
60001128-02,4,5,1,3,3,3,3,3,1,2,3
60001131-01,5,2,2,3,1,1,3,1,1,2,3
60001136-01,4,3,1,3,3,3,3,1,1,2,2
60001145-01,4,3,4,2,1,2,1,1,2,2,2
60001146-01,3,4,3,1,1,1,3,1,1,2,3
60001147-02,3,3,3,1,1,1,1,1,1,2,4
60001148-02,5,0,0,3,3,3,3,3,3,-9,-9
60001149-01,2,5,4,1,1,1,3,1,1,1,2
60001157-01,2,3,3,1,1,1,2,1,2,2,2
60001159-01,3,5,6,2,1,1,1,1,1,4,4
60001160-01,5,2,2,1,1,2,2,1,1,2,2
60001163-03,3,3,0,1,1,1,1,1,1,1,3
60001166-01,2,3,2,3,3,1,3,1,1,3,2
60001167-03,3,3,2,1,1,1,1,1,1,1,4
60001172-02,5,1,1,3,3,3,3,1,1,3,3
60001174-01,5,3,2,3,1,1,3,1,1,2,2
60001177-01,3,3,4,1,1,1,1,1,1,2,3
60001187-01,5,3,3,1,1,1,1,1,1,1,4
60001189-01,5,1,1,2,2,2,3,1,1,4,2
60001194-02,5,3,3,1,1,1,2,1,1,1,1
60001195-02,2,6,2,2,2,1,1,1,1,4,2
60001199-01,2,3,3,3,1,1,2,1,1,2,1
60001200-01,3,3,3,3,3,1,3,1,1,3,2
60001202-01,3,1,2,1,1,2,1,1,1,1,2
60001213-01,3,2,2,2,2,2,3,1,1,4,3
60001218-01,5,2,2,2,1,1,1,1,1,3,3
60001219-01,3,3,1,1,1,1,1,1,1,1,4
60001222-01,3,2,2,3,3,1,1,1,1,4,2
60001224-01,3,3,4,3,3,1,3,1,1,3,2
60001225-01,5,2,1,1,1,1,3,1,1,2,1
60001227-01,1,2,3,1,1,1,1,1,1,1,1
60001228-01,4,3,3,3,3,3,3,1,1,4,4
60001235-03,3,4,3,-9,-9,-9,-9,1,-9,3,3
60001239-01,2,0,4,2,1,2,2,1,1,3,2
60001242-03,2,0,6,1,1,1,3,1,1,2,2
60001244-02,5,1,2,1,1,1,1,1,1,1,4
60001245-02,3,2,1,1,1,1,1,1,1,2,3
60001248-01,3,3,5,2,2,1,2,1,1,3,2
60001250-01,4,2,2,3,3,3,3,3,3,2,4
60001251-03,5,5,4,3,3,3,3,1,3,4,2
60001253-01,5,3,2,1,1,3,3,1,1,2,3
60001256-01,3,2,2,1,1,3,3,1,3,2,2
60001257-02,5,3,2,3,3,3,3,1,1,2,2
60001264-01,5,0,0,3,3,3,3,3,3,1,2
60001265-01,3,3,2,3,3,3,2,1,1,3,2
60001269-01,3,3,3,2,1,2,1,2,1,3,2
60001274-01,5,0,0,3,3,3,3,3,3,2,2
60001276-01,3,3,5,3,1,1,1,1,1,2,3
60001278-01,4,2,4,3,1,3,3,1,1,3,3
60001279-01,4,1,2,1,1,1,1,1,1,3,4
60001283-02,3,2,2,3,3,3,3,1,3,3,2
60001287-02,2,1,1,1,1,1,1,1,1,1,1
60001289-01,5,3,3,3,3,2,2,1,1,2,2
60001293-01,4,4,4,2,3,3,3,1,1,3,3
60001294-01,5,2,3,1,3,3,3,1,1,2,3
60001298-02,5,4,3,1,1,1,3,1,1,1,2
60001300-01,3,1,4,1,1,1,1,1,1,1,4
60001301-01,4,3,2,3,1,3,3,1,3,2,3
60001303-01,4,3,2,1,1,3,3,1,1,2,2
60001305-02,5,1,3,1,1,1,1,1,1,1,2
60001306-02,2,3,4,1,1,1,1,1,1,2,2
60001308-02,1,1,3,3,1,1,3,1,1,3,3
60001309-02,5,2,2,2,1,2,2,1,1,4,3
60001310-01,5,0,1,1,2,1,1,1,1,2,2
60001315-01,2,4,4,2,2,1,2,1,1,4,1
60001316-02,4,1,2,3,3,3,3,3,3,1,1
60001318-01,3,1,3,3,3,3,3,1,3,3,2
60001321-01,5,3,1,3,3,1,3,1,1,3,2
60001322-02,2,4,3,1,1,1,2,1,3,1,4
60001323-01,3,1,1,2,2,2,2,2,2,1,3
60001325-01,4,5,3,3,3,3,1,3,1,4,3
60001329-01,4,3,3,1,1,1,1,1,1,2,3
60001333-01,2,3,3,2,2,2,2,1,1,3,1
60001334-02,2,3,3,2,2,2,2,2,2,4,4
60001339-02,4,4,3,1,1,1,3,1,1,1,2
60001341-01,3,6,6,3,3,3,3,3,3,2,2
60001343-01,3,4,5,1,1,3,1,1,1,2,2
60001345-01,1,5,6,2,1,1,1,1,1,3,2
60001348-01,1,1,4,1,1,1,3,1,1,2,1
60001350-01,2,2,2,1,1,1,2,1,1,2,2
60001353-02,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
60001354-01,5,3,2,1,2,1,3,1,1,1,1
60001355-01,5,2,3,1,1,1,1,1,3,1,2
60001361-03,5,3,3,3,3,1,3,1,3,3,3
60001363-01,5,0,2,3,2,1,2,1,1,4,2
60001364-01,5,3,3,3,1,3,3,1,1,-9,-9
60001366-02,4,3,3,3,1,1,1,1,1,2,4
60001369-01,1,3,4,1,1,3,3,1,1,2,2
60001370-03,3,2,3,3,3,3,3,3,3,2,1
60001371-01,4,4,4,3,3,3,3,1,1,4,1
60001373-01,4,2,4,1,1,1,1,1,1,1,2
60001374-01,2,4,3,1,1,1,3,1,1,1,1
60001377-01,2,2,6,3,1,1,1,1,1,2,2
60001379-02,5,3,3,2,1,1,2,1,2,3,2
60001380-03,5,2,2,1,-9,-9,-9,1,-9,2,3
60001383-01,4,3,3,2,1,2,2,1,1,4,4
60001385-01,4,3,3,3,1,3,3,1,1,3,1
60001386-02,5,2,2,1,1,3,3,1,1,2,2
60001388-01,4,3,2,3,3,1,3,1,1,3,2
