PersonID,SeekHealthInfo,WhereSeekHealthInfo,WhoLookingFor,LotOfEffort,Frustrated,ConcernedQuality,TooHardUnderstand,ConfidentGetHealthInf,TrustDoctor,TrustFamily,TrustNewsMag,TrustRadio,TrustInternet,TrustTelevision,TrustGov,TrustCharities,TrustReligiousOrgs,StrongNeedHealthInfo,StrongNeedHealthInfo_OS,SeekCancerInfo,InternetCancerInfoSelf
60000208-01,1,7,2,4,4,4,4,2,1,3,2,4,1,4,2,4,4,7,-1,2,2
60000212-01,1,7,1,3,3,2,2,3,1,2,2,2,2,2,3,4,3,-5,-1,2,2
60000215-01,1,4,1,3,2,3,3,2,1,3,1,3,2,3,1,2,4,4,-1,1,1
60000217-01,1,7,3,3,2,2,3,3,2,2,3,3,2,3,2,2,2,7,-1,1,2
60000218-01,1,7,1,4,4,4,4,1,1,3,2,2,1,3,1,3,3,7,-1,1,2
60000219-01,1,6,1,4,4,4,4,2,1,2,2,4,2,3,2,3,4,6,-1,1,2
60000221-03,1,7,2,4,4,3,4,2,1,2,2,3,1,4,1,1,2,6,-1,1,2
60000222-01,1,6,1,3,3,4,3,2,1,2,2,3,2,2,1,2,3,7,-1,1,2
60000224-01,1,7,1,2,3,3,2,3,1,2,2,3,2,4,2,3,3,6,-1,2,2
60000227-01,1,6,1,4,3,3,3,2,1,2,3,3,3,3,3,2,2,6,-1,2,2
60000231-02,2,-1,-1,-1,-1,-1,-1,3,1,3,4,4,3,4,2,4,3,6,-1,2,2
60000232-01,1,7,1,4,4,4,4,1,3,3,4,3,1,3,1,1,4,7,-1,1,1
60000235-01,1,7,1,2,2,2,2,3,1,3,2,2,2,3,1,1,3,7,-1,1,2
60000237-01,1,7,3,2,-9,-9,-9,2,1,2,3,3,2,3,2,2,3,6,-1,2,2
60000238-01,1,6,1,3,4,3,3,1,1,2,2,2,2,2,1,2,3,6,-1,2,2
60000241-02,2,-1,-1,-1,-1,-1,-1,3,1,2,2,2,-9,2,1,2,2,6,-1,2,2
60000243-01,1,5,1,2,4,2,3,3,2,3,2,3,2,4,4,4,4,91,HOMEOPATHIC-NATURAL PHARMACY,1,2
60000244-01,1,6,3,2,2,2,2,3,3,3,3,2,3,2,3,3,3,6,-1,1,1
60000245-01,1,7,1,2,3,2,3,2,1,2,3,3,2,3,2,2,3,7,-1,1,2
60000248-01,1,7,1,4,4,3,4,2,1,2,1,2,-5,-5,1,2,2,6,-1,1,1
60000256-02,2,-2,-2,-2,-2,-2,-2,2,1,2,3,4,2,3,2,3,4,6,-1,2,2
60000262-01,1,7,1,4,-9,4,4,1,3,3,2,4,2,4,1,4,4,6,-1,2,2
60000264-01,1,7,1,4,4,3,4,3,1,2,2,2,2,2,2,2,3,7,-1,1,1
60000265-01,2,-1,-1,-1,-1,-1,-1,3,1,-9,3,1,1,3,3,3,3,6,-1,2,2
60000267-01,1,7,1,4,4,3,4,3,1,2,2,4,2,2,2,3,2,4,-1,1,2
60000274-01,1,6,1,4,4,4,4,2,1,2,2,2,2,3,2,3,3,6,-1,1,1
60000275-01,2,-1,-1,-1,-1,-1,-1,1,1,3,3,3,3,3,2,3,4,7,-1,2,2
60000281-01,1,7,1,3,3,2,4,4,1,2,3,3,2,3,2,2,4,6,-1,1,2
60000288-03,1,6,1,1,1,-9,-9,1,4,-9,-9,-9,-9,-9,-9,-9,-9,6,-1,2,2
60000295-01,2,-2,-2,-2,-2,-2,-2,3,1,2,3,3,3,3,3,3,3,6,-1,2,2
60000296-01,1,5,1,3,3,2,3,1,2,2,2,2,2,2,2,2,2,7,-1,1,2
60000299-01,1,-5,1,4,3,1,3,2,2,4,3,3,1,3,2,4,4,7,-1,1,2
60000301-01,1,7,2,2,2,4,2,2,1,2,2,4,3,2,1,3,3,6,-1,2,2
60000305-01,1,7,1,1,1,2,2,4,3,2,4,4,3,4,4,2,3,6,-1,2,2
60000306-02,1,2,1,1,4,4,4,2,3,2,2,4,2,4,2,2,2,6,-1,1,1
60000308-01,1,7,2,4,4,2,3,2,1,2,4,4,2,4,3,3,2,7,-1,1,2
60000310-01,1,7,1,2,2,1,2,3,1,3,3,3,3,3,1,2,4,6,-1,1,2
60000311-02,1,7,1,4,4,4,4,1,1,2,2,2,2,2,1,1,3,7,-1,2,2
60000318-01,1,7,1,3,4,3,4,3,1,3,4,4,2,3,3,4,4,7,-1,1,2
60000323-01,1,7,1,4,4,4,4,1,1,2,2,2,2,2,1,2,4,6,-1,1,2
60000324-01,1,7,3,2,3,2,4,2,1,3,2,3,3,3,1,3,3,7,-1,1,1
60000329-01,2,-1,-1,-1,-1,-1,-1,2,1,2,3,3,3,3,1,3,4,6,-1,1,2
60000332-01,1,7,1,4,3,3,3,3,1,3,4,3,2,4,1,2,2,7,-1,1,1
60000333-03,1,7,2,3,3,3,3,3,1,3,3,3,-5,2,3,-9,3,7,-1,1,2
60000334-02,1,7,3,2,2,2,3,3,1,2,3,3,2,3,-9,2,-9,6,-1,1,2
60000335-01,1,7,1,3,4,2,3,3,1,2,2,2,2,3,1,1,4,7,-1,1,2
60000340-01,1,7,2,4,4,4,4,2,2,2,3,4,2,3,2,4,4,7,-1,1,1
60000345-01,2,-1,-1,-1,-1,-1,-1,2,2,3,2,3,2,2,2,2,4,7,-1,2,2
60000348-01,1,6,1,4,4,4,4,1,1,3,3,4,4,4,4,4,4,6,-1,2,2
60000350-02,1,7,1,4,4,2,1,3,2,3,3,4,2,4,4,4,4,6,-1,1,2
60000355-01,1,7,1,2,2,3,3,3,1,2,2,3,2,2,2,3,3,7,-1,2,2
60000358-01,1,7,2,2,3,2,4,2,1,3,3,4,1,4,2,3,2,7,-1,1,1
60000360-01,1,7,1,3,3,2,2,4,3,3,3,3,3,4,3,3,3,7,-1,2,2
60000363-01,1,7,1,3,3,2,3,2,1,2,2,2,2,3,2,3,3,6,-1,1,2
60000366-01,1,7,1,3,3,3,3,3,1,2,3,3,2,3,1,3,4,6,-1,1,2
60000367-01,1,1,3,4,4,2,4,3,2,-5,2,2,4,4,2,3,4,1,-1,1,2
60000370-01,2,-1,-1,-1,-1,-1,-1,4,4,3,3,3,3,3,3,4,4,10,-1,2,2
60000371-02,2,-1,-1,-1,-1,-1,-1,3,2,1,4,4,3,4,3,3,3,4,-1,1,1
60000373-01,1,7,2,3,4,4,4,2,1,2,3,4,1,3,3,4,4,7,-1,1,2
60000378-02,1,-5,1,4,3,2,2,2,2,3,3,4,3,4,2,2,3,7,-1,1,2
60000379-01,1,7,1,4,4,4,4,2,1,3,2,3,2,3,1,2,4,6,-1,2,2
60000382-03,1,-5,2,3,3,3,3,3,1,3,3,3,2,3,1,2,3,6,-1,2,2
60000383-01,1,7,2,3,2,2,3,2,1,2,2,2,2,4,3,3,3,7,-1,1,2
60000388-01,1,-5,2,4,4,4,3,1,1,2,3,3,2,3,1,3,4,7,-1,1,1
60000390-01,1,7,1,2,4,2,4,2,1,2,2,2,2,2,2,2,3,6,-1,1,2
60000394-01,1,7,1,3,3,2,4,2,1,2,3,3,2,3,1,2,3,7,-1,1,2
60000395-01,1,7,1,2,2,1,3,3,1,2,3,3,3,3,2,3,4,6,-1,1,2
60000398-01,1,7,3,2,2,2,3,3,1,2,2,2,2,2,1,2,3,7,-1,1,2
60000408-01,1,7,1,3,4,1,3,3,1,2,2,2,3,2,2,3,4,7,-1,2,2
60000410-01,1,4,1,4,4,2,4,1,1,2,3,4,3,4,1,3,4,6,-1,1,1
60000412-03,1,7,3,4,4,4,4,2,1,3,2,4,1,4,1,1,1,7,-1,1,2
60000423-01,1,7,2,2,2,2,1,3,3,4,3,3,2,3,2,3,3,7,-1,1,2
60000425-01,1,7,3,3,3,3,3,2,1,2,3,3,2,3,2,3,2,7,-1,1,2
60000428-01,2,-1,-1,-1,-1,-1,-1,5,2,3,4,4,4,4,3,4,4,6,-1,1,2
60000435-02,2,-1,-1,-1,-1,-1,-1,4,2,2,2,2,2,2,2,2,2,6,-1,2,2
60000438-03,2,-1,-1,-1,-1,-1,-1,2,1,2,2,2,4,2,2,3,3,6,-1,2,2
60000444-01,1,7,1,3,3,4,4,3,1,3,3,4,2,3,3,4,3,6,-1,1,2
60000448-01,1,7,1,3,3,2,3,3,1,2,3,4,2,4,2,4,4,6,-1,2,2
60000451-01,1,6,1,4,4,4,4,2,1,3,2,2,2,2,1,1,1,7,-1,2,2
60000454-02,1,6,1,3,3,1,4,2,2,3,3,3,3,3,2,2,4,7,-1,1,1
60000459-01,2,-1,-1,-1,-1,-1,-1,2,1,2,2,2,1,2,1,2,3,4,-1,1,2
60000460-01,1,7,1,4,3,1,4,2,1,2,2,2,2,2,2,2,2,6,-1,2,2
60000464-01,1,7,1,2,2,3,2,2,2,3,4,4,2,4,2,4,4,7,-1,2,2
60000465-01,1,7,1,4,4,4,4,1,2,3,4,4,2,2,2,3,3,6,-1,2,2
60000466-01,1,7,2,3,4,3,3,1,1,3,2,2,2,2,1,2,2,6,-1,1,2
60000470-03,1,-5,1,4,4,4,4,2,1,3,3,3,2,4,2,2,4,7,-1,2,2
60000482-01,1,7,3,-9,-9,-9,-9,3,1,1,2,4,1,2,3,3,3,-9,-6,1,2
60000484-03,1,7,2,4,4,4,4,2,1,3,4,4,2,3,3,4,3,6,-1,1,2
60000485-01,1,7,1,4,4,4,4,1,-9,4,4,4,2,4,1,3,3,6,-1,1,1
60000486-01,1,7,2,4,4,4,4,4,1,2,3,3,2,2,2,2,2,7,-1,1,1
60000488-02,1,6,1,3,3,4,4,2,1,3,3,3,3,3,2,3,3,6,-1,2,2
60000489-01,1,1,3,2,3,3,4,3,1,1,2,2,2,2,2,3,4,8,-1,1,1
60000490-01,1,7,1,4,4,4,3,2,1,3,3,4,2,3,1,3,3,7,-1,2,2
60000491-02,1,7,3,4,4,4,4,2,1,3,2,3,1,2,2,2,2,7,-1,1,2
60000492-01,1,11,1,1,3,3,4,2,2,3,1,1,1,1,1,1,1,6,-1,2,2
60000493-03,1,-5,1,4,4,4,4,2,1,2,2,2,2,2,2,2,3,7,-1,1,2
60000494-01,1,7,1,2,2,1,3,2,1,2,2,3,-9,2,2,2,2,6,-1,2,2
60000498-01,1,7,2,2,2,2,3,2,1,2,3,3,2,3,1,1,3,7,-1,1,2
60000500-01,1,2,3,2,3,2,3,3,1,2,2,3,2,3,2,2,2,6,-1,1,2
60000501-01,1,6,1,1,-9,-9,-9,1,1,1,2,3,3,3,3,3,3,6,-1,2,2
60000502-01,1,-5,2,4,4,4,4,3,1,2,3,3,2,3,2,3,4,7,-1,2,2
60000504-01,1,7,2,4,4,4,3,3,1,3,3,3,1,3,3,4,4,6,-1,1,2
60000509-01,2,-1,-1,-1,-1,-1,-1,3,2,3,4,4,4,4,3,3,3,6,-1,2,2
60000511-01,1,4,2,3,4,3,3,2,1,2,3,3,2,3,2,3,3,7,-1,2,2
60000513-01,1,7,2,2,2,1,2,3,1,2,3,3,3,3,2,4,4,7,-1,1,2
60000514-01,1,6,1,4,4,4,4,2,1,2,2,2,2,2,2,3,3,6,-1,1,2
60000515-03,1,7,1,4,2,2,3,2,1,2,2,2,2,2,2,2,2,7,-1,1,1
60000518-03,1,7,3,2,3,1,3,4,2,3,2,3,3,2,3,2,3,6,-1,1,1
60000519-01,-9,-6,-6,-6,-6,-6,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6,-1,1,2
60000520-01,1,7,2,4,4,4,4,1,1,3,2,2,1,2,2,3,3,7,-1,2,2
60000526-02,1,7,1,3,2,3,3,2,1,2,2,3,1,3,2,2,3,6,-1,1,1
60000531-01,1,7,3,3,3,3,3,3,1,2,2,4,2,4,1,3,3,6,-1,1,2
60000532-03,1,7,1,3,3,2,3,2,1,2,2,2,2,3,1,2,4,6,-1,1,1
60000534-01,1,7,1,3,1,2,3,1,-5,3,3,4,2,4,1,4,4,7,-1,1,2
60000536-01,1,7,1,4,3,3,3,2,2,3,3,3,2,3,2,2,3,7,-1,1,1
60000537-01,-9,-6,-6,-6,-6,-6,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,7,-1,2,2
60000538-01,1,7,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,7,-1,1,1
60000539-01,1,7,1,1,1,2,2,2,1,3,3,3,2,3,3,4,3,6,-1,2,2
60000540-01,2,-1,-1,-1,-1,-1,-1,3,2,3,2,2,2,2,1,2,2,11,-1,2,2
60000541-01,2,-1,-1,-1,-1,-1,-1,2,1,3,2,2,2,2,2,3,4,6,-1,2,2
60000550-01,1,7,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,6,-1,2,2
60000552-01,-9,-6,-6,-6,-6,-6,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6,-1,2,2
60000553-01,2,-1,-1,-1,-1,-1,-1,3,2,1,3,3,4,3,3,1,1,-5,-1,2,2
60000554-01,1,7,2,3,3,2,3,3,2,2,3,3,2,4,3,3,3,7,-1,2,2
60000559-02,1,7,3,3,4,2,2,3,1,3,3,3,2,2,2,3,4,7,-1,1,2
60000562-01,1,7,3,4,4,4,4,1,2,3,3,3,3,4,4,4,3,7,-1,1,2
60000563-01,1,7,2,3,3,1,2,3,1,2,3,4,3,4,2,3,4,6,-1,1,2
60000564-01,2,-1,-1,-1,-1,-1,-1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,6,-1,2,2
60000567-03,-9,-6,-6,-6,-6,-6,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,7,-1,1,2
60000568-02,1,7,2,4,1,2,2,1,1,2,2,2,3,2,2,2,3,7,-1,1,2
60000574-01,1,7,3,4,4,4,4,2,2,3,2,3,3,4,2,2,4,7,-1,2,2
60000578-03,1,7,1,2,1,1,2,4,2,3,4,4,4,4,2,2,3,6,-1,1,1
60000581-02,1,7,1,2,2,1,3,4,3,2,3,3,2,3,2,3,3,7,-1,1,2
60000586-01,1,7,1,2,3,1,3,5,3,3,4,4,4,4,4,4,4,7,-1,2,2
60000587-01,1,7,3,3,2,2,3,2,1,2,2,2,2,2,2,2,3,7,-1,1,1
60000588-01,1,7,1,3,2,2,4,3,1,2,3,3,2,4,2,4,4,6,-1,1,2
60000590-02,1,7,1,2,2,2,3,2,1,2,2,3,2,2,3,3,4,7,-1,1,2
60000593-01,1,7,1,4,3,2,4,2,1,2,3,3,2,3,2,2,2,7,-1,2,2
60000595-02,1,-5,1,2,2,2,3,3,-5,2,2,4,4,2,3,4,4,6,-1,2,2
60000601-01,1,-5,1,3,2,2,3,3,2,2,2,3,2,2,3,3,3,7,-1,1,2
60000602-01,1,7,2,4,4,4,4,2,2,2,2,4,2,3,3,2,4,6,-1,1,2
60000604-01,2,-1,-1,-1,-1,-1,-1,2,1,2,2,2,3,3,3,3,3,6,-1,2,2
60000608-03,1,7,1,3,3,1,3,2,1,2,2,3,2,3,1,4,4,6,-1,1,2
60000614-01,1,5,3,2,4,2,4,2,1,2,4,4,4,4,2,3,3,3,-1,1,2
60000616-03,1,6,1,4,4,4,4,2,1,2,3,3,2,3,2,2,3,6,-1,1,2
60000619-01,1,6,1,3,2,2,3,3,1,3,4,4,3,3,3,3,3,6,-1,2,2
60000620-02,1,7,3,4,4,2,4,2,2,3,2,3,1,2,3,2,2,7,-1,1,2
60000622-02,1,7,2,1,1,2,2,3,-5,-9,3,3,2,2,2,3,4,-5,-1,1,2
60000629-01,1,7,1,3,3,2,2,3,1,2,3,3,2,3,1,1,3,7,-1,1,2
60000631-01,1,6,1,4,4,4,4,2,1,2,1,2,1,2,1,1,4,6,-1,2,2
60000635-01,1,1,1,3,3,2,3,3,1,2,2,2,2,2,1,2,3,1,-1,1,2
60000637-01,2,-1,-1,-1,-1,-1,-1,1,1,2,2,2,2,2,2,2,2,6,-1,2,2
60000640-01,1,7,2,3,4,4,4,1,1,2,3,3,1,3,2,3,3,7,-1,1,2
60000641-01,1,7,1,4,4,3,4,3,1,2,3,4,2,3,4,4,4,7,-1,1,2
60000643-03,2,-1,-1,-1,-1,-1,-1,3,1,2,3,3,3,3,3,3,3,6,-1,1,2
60000647-02,1,7,3,4,4,4,4,1,1,2,4,4,2,4,4,4,4,6,-1,2,2
60000651-01,1,-5,3,4,4,4,4,2,2,2,4,4,2,4,2,3,4,7,-1,1,1
60000652-01,1,7,1,4,4,4,4,2,2,3,3,3,1,3,3,3,3,7,-1,2,2
60000654-01,1,7,1,3,4,3,3,2,1,2,2,2,1,2,1,2,3,7,-1,1,2
60000655-01,1,7,1,2,3,2,3,2,3,2,-9,-9,1,2,2,2,2,7,-1,1,1
60000656-03,1,7,2,2,4,3,4,3,1,3,1,1,2,2,2,2,2,7,-1,1,2
60000657-01,1,7,1,1,1,3,4,5,1,4,4,4,2,3,1,2,4,7,-1,1,1
60000661-01,1,-5,3,3,3,4,3,2,1,1,2,2,2,2,2,2,2,6,-1,1,1
60000662-01,1,7,1,4,4,2,4,1,1,2,2,3,1,3,1,2,4,7,-1,1,2
60000665-01,1,7,1,3,2,3,3,3,1,2,2,2,2,2,3,3,3,6,-1,1,2
60000669-03,1,-5,2,2,2,2,2,2,1,2,2,2,2,2,1,3,3,7,-1,1,2
60000676-02,1,-5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,-5,-1,1,1
60000677-01,1,-5,1,4,4,4,4,1,1,1,2,3,3,3,3,2,4,6,-1,1,1
60000679-01,1,-5,1,2,1,2,2,3,2,3,3,3,4,4,3,2,3,6,-1,2,2
60000680-01,1,7,3,3,3,3,3,2,1,2,1,2,2,2,1,2,4,6,-1,1,1
60000685-01,-9,-6,-6,-6,-6,-6,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,7,-1,1,2
60000704-01,1,6,2,4,4,4,4,2,1,2,4,4,4,4,1,4,4,6,-1,2,2
60000715-01,1,6,1,4,4,3,2,1,1,4,4,3,2,4,2,3,4,6,-1,2,2
60000716-01,-9,-6,-6,-6,-6,-6,-6,-9,-5,2,3,3,2,2,2,3,3,6,-1,2,2
60000717-01,2,-1,-1,-1,-1,-1,-1,1,1,4,4,3,3,3,1,2,3,6,-1,2,2
60000718-02,2,-1,-1,-1,-1,-1,-1,5,1,2,4,4,4,4,3,4,4,6,-1,1,2
60000723-01,2,-1,-1,-1,-1,-1,-1,2,2,1,2,1,1,1,2,1,1,4,-1,1,1
60000724-01,1,6,1,3,3,3,3,2,1,2,3,4,4,4,3,4,4,6,-1,1,2
60000725-01,1,6,3,3,3,2,3,3,1,2,3,2,2,2,1,2,2,6,-1,1,2
60000726-01,1,6,1,3,2,2,3,2,1,3,1,1,4,4,1,3,4,6,-1,1,2
60000727-01,1,7,2,4,4,4,4,1,1,-9,3,4,2,2,2,4,4,7,-1,1,2
60000733-01,1,7,2,4,4,4,4,2,1,2,1,-9,1,1,1,1,4,6,-1,1,2
60000736-03,2,-1,-1,-1,-1,-1,-1,1,2,3,3,3,3,4,3,3,3,7,-1,1,2
60000738-01,1,7,3,2,2,3,4,4,1,2,4,4,2,4,3,3,4,7,-1,1,2
60000745-01,2,-1,-1,-1,-1,-1,-1,1,2,2,3,4,2,3,2,3,4,7,-1,2,2
60000747-01,1,7,2,2,2,1,2,3,1,2,4,4,2,3,4,3,3,6,-1,1,2
60000755-03,2,-1,-1,-1,-1,-1,-1,2,1,2,4,4,4,4,2,2,2,6,-1,2,2
60000757-02,1,7,2,2,3,3,3,2,1,2,3,3,2,3,3,3,3,6,-1,1,2
60000758-01,1,7,1,2,2,2,2,2,2,3,2,2,3,4,2,3,4,4,-1,1,1
60000760-01,1,7,1,2,2,2,3,2,1,3,2,3,2,3,1,2,4,7,-1,1,2
60000765-03,2,-2,-2,-2,-2,-2,-2,3,2,2,2,2,2,2,1,1,1,7,-1,2,2
60000768-02,1,7,1,4,4,4,4,2,1,2,2,3,2,3,2,2,3,6,-1,1,2
60000770-01,1,6,1,3,-5,4,2,1,1,4,3,4,4,3,2,1,2,6,-1,2,2
60000771-02,1,-5,1,2,1,2,1,3,1,2,3,4,2,4,4,4,4,6,-1,1,2
60000772-01,1,-5,3,3,3,2,3,3,1,2,3,3,3,3,2,2,2,6,-1,1,2
60000774-01,1,7,1,2,2,3,4,3,2,3,4,3,2,3,2,2,2,7,-1,2,2
60000777-01,1,6,2,2,2,1,2,3,1,1,3,3,2,3,2,3,3,6,-1,2,2
60000778-02,1,7,2,1,1,1,1,5,2,2,3,2,2,3,4,3,4,7,-1,1,1
60000785-02,1,7,2,3,4,3,4,3,2,2,2,4,2,4,-9,2,-9,12,-1,1,2
60000786-01,1,6,2,2,2,2,2,2,1,3,3,4,4,3,2,4,4,6,-1,1,2
60000787-01,1,7,1,2,2,3,3,3,2,2,3,4,2,3,3,2,1,7,-1,2,2
60000788-02,1,6,1,2,4,2,4,1,1,4,4,4,4,4,1,3,3,6,-1,2,2
