PersonID,ChanceGetCancer,EverythingCauseCancer,PreventNotPossible,TooManyRecommendations,CancerMoreCommon,CancerFatal,RatherNotKnowChance,FreqWorryCancer,FamilyEverHadCancer
60000169-02,4,2,3,1,2,1,2,4,1
60000173-01,2,3,4,4,3,2,3,2,1
60000190-01,5,1,1,1,1,1,1,5,1
60000193-01,1,4,3,3,2,4,3,1,1
60000196-03,3,2,2,2,3,3,2,1,4
60000198-02,3,2,4,2,2,1,2,2,2
60000201-01,2,2,4,2,2,2,2,2,2
60000207-01,2,1,4,3,3,3,4,4,1
60000208-01,3,3,4,3,4,2,2,2,2
60000212-01,4,3,3,2,2,3,3,3,2
60000215-01,5,2,3,2,3,4,3,2,1
60000217-01,4,3,3,3,4,3,4,2,1
60000218-01,4,4,3,4,3,3,2,1,1
60000219-01,4,2,4,2,2,2,4,3,1
60000221-03,3,4,2,1,1,2,1,3,1
60000222-01,4,2,3,2,2,3,4,2,1
60000224-01,3,2,3,1,3,2,3,2,1
60000227-01,3,2,3,3,2,2,2,2,1
60000231-02,3,2,2,2,3,2,2,2,1
60000232-01,5,2,4,2,3,1,1,5,1
60000235-01,3,3,4,3,3,3,3,2,1
60000237-01,-9,-9,-9,-9,-9,-9,-9,-9,-9
60000238-01,3,4,4,3,2,2,4,2,1
60000241-02,4,4,4,1,3,1,2,2,1
60000243-01,4,2,3,3,3,3,2,4,2
60000244-01,5,2,2,2,3,4,1,3,1
60000245-01,3,2,3,1,2,2,3,3,1
60000248-01,4,1,3,1,2,1,4,4,1
60000256-02,5,3,2,2,3,2,4,4,1
60000262-01,4,1,1,1,2,2,3,3,1
60000264-01,5,3,1,1,2,1,2,5,1
60000265-01,3,2,3,2,3,4,2,3,1
60000267-01,4,2,4,2,2,1,4,4,1
60000274-01,4,3,2,2,2,4,4,3,4
60000275-01,3,3,3,2,4,3,3,2,1
60000281-01,2,3,4,3,2,2,3,2,1
60000288-03,2,2,2,1,2,2,2,1,2
60000295-01,4,2,4,3,-9,2,2,1,1
60000296-01,2,2,3,3,3,2,3,1,2
60000299-01,5,2,4,1,3,2,4,2,1
60000301-01,3,2,3,2,2,1,3,3,1
60000305-01,-9,2,3,1,2,2,3,3,1
60000306-02,4,1,3,1,3,4,3,4,4
60000308-01,4,2,2,2,3,3,3,1,1
60000310-01,4,2,3,1,2,1,2,5,2
60000311-02,3,2,3,2,3,1,4,2,1
60000318-01,3,1,1,1,1,1,2,3,1
60000323-01,4,2,3,2,2,2,3,2,2
60000324-01,4,3,4,3,2,2,2,4,1
60000329-01,3,4,4,4,1,4,4,2,1
60000332-01,3,2,4,2,3,1,2,3,4
60000333-03,3,2,2,2,2,1,1,3,1
60000334-02,4,2,3,2,2,3,2,3,1
60000335-01,2,2,3,2,2,1,1,1,2
60000340-01,3,2,3,2,3,3,3,2,1
60000345-01,5,2,3,1,4,2,1,1,1
60000348-01,3,3,3,2,3,2,2,3,1
60000350-02,4,1,1,1,1,1,2,3,1
60000355-01,3,2,3,3,2,2,2,1,2
60000358-01,4,2,4,3,3,2,2,3,1
60000360-01,3,2,4,2,3,2,2,3,1
60000363-01,4,3,3,2,3,3,3,2,2
60000366-01,4,3,3,2,2,3,3,2,1
60000367-01,2,4,3,2,4,3,2,2,1
60000370-01,5,3,2,2,1,2,1,2,1
60000371-02,3,2,4,2,3,1,2,3,1
60000373-01,4,2,4,2,3,2,4,2,1
60000378-02,3,3,4,2,2,2,4,3,1
60000379-01,3,4,4,4,4,4,3,2,1
60000382-03,4,2,3,2,2,2,3,3,2
60000383-01,3,2,2,1,2,3,3,2,2
60000388-01,4,2,3,2,3,3,2,2,1
60000390-01,5,2,2,1,2,4,4,3,1
60000394-01,3,2,4,3,4,2,4,4,2
60000395-01,3,2,4,2,3,2,4,2,2
60000398-01,5,4,4,3,3,4,4,2,1
60000408-01,2,4,4,4,3,4,3,2,2
60000410-01,4,2,3,2,2,1,4,1,1
60000412-03,3,3,3,1,3,3,4,4,1
60000423-01,4,1,3,2,3,2,2,2,1
60000425-01,3,3,3,3,4,2,4,2,2
60000428-01,3,4,3,1,-5,4,2,1,4
60000435-02,3,2,3,2,2,2,2,3,1
60000438-03,4,1,3,2,3,2,3,3,1
60000444-01,4,2,3,2,2,4,3,4,1
60000448-01,3,2,4,3,3,2,3,3,1
60000451-01,2,3,4,4,3,4,3,1,1
60000454-02,2,2,3,2,3,2,4,3,2
60000459-01,4,3,2,2,2,2,3,2,1
60000460-01,3,3,4,2,2,4,4,2,2
60000464-01,4,2,3,1,3,3,3,2,1
60000465-01,4,2,3,2,3,2,4,3,2
60000466-01,4,2,4,3,3,3,4,3,1
60000470-03,1,1,3,1,3,2,4,3,1
60000482-01,4,1,3,2,2,3,2,2,1
60000484-03,3,2,4,2,3,2,1,4,1
60000485-01,4,2,4,1,3,4,4,3,1
60000486-01,3,2,4,2,3,1,2,4,1
60000488-02,2,1,4,2,4,3,3,1,2
60000489-01,5,4,4,3,3,2,4,4,1
60000490-01,4,1,3,2,3,1,1,3,1
60000491-02,4,2,3,2,3,2,4,2,1
60000492-01,4,2,3,2,3,3,4,3,1
60000493-03,3,2,4,2,-9,2,4,3,1
60000494-01,3,2,3,1,3,3,4,2,2
60000498-01,4,4,4,2,4,4,4,4,1
60000500-01,3,2,3,3,3,2,2,3,1
60000501-01,1,2,3,2,2,2,4,3,1
60000502-01,4,2,3,3,4,3,2,2,1
60000504-01,3,2,2,2,3,2,2,3,2
60000509-01,1,2,-9,-9,-9,-9,-9,1,4
60000511-01,3,2,3,2,3,2,2,1,1
60000513-01,1,3,3,2,3,3,3,2,2
60000514-01,5,1,2,2,2,1,2,3,1
60000515-03,1,1,3,2,2,1,2,2,2
60000518-03,3,3,3,2,-9,1,2,2,1
60000519-01,-9,1,2,2,3,1,1,5,1
60000520-01,3,2,4,4,3,3,3,2,1
60000526-02,4,4,3,2,2,3,4,2,2
60000531-01,3,1,4,1,2,2,3,2,1
60000532-03,4,2,3,2,2,2,3,3,1
60000534-01,3,3,4,2,4,4,3,2,1
60000536-01,3,2,3,2,2,3,2,3,2
60000537-01,3,4,3,1,1,3,1,1,1
60000538-01,3,3,3,2,3,2,4,2,2
60000539-01,4,3,1,2,4,1,1,2,2
60000540-01,3,2,2,2,2,2,1,3,1
60000541-01,3,2,4,2,3,3,2,3,1
60000550-01,4,2,2,2,2,2,2,3,1
60000552-01,3,2,4,2,3,1,2,5,1
60000553-01,3,1,2,1,2,2,1,5,1
60000554-01,3,2,3,2,2,2,3,3,2
60000559-02,4,2,2,2,2,1,2,3,1
60000562-01,4,3,3,1,3,4,2,1,1
60000563-01,3,2,3,1,3,1,4,3,1
60000564-01,2,2,1,2,4,4,1,1,-9
60000567-03,-9,-9,-9,-9,-9,-9,-9,-9,-9
60000568-02,4,1,3,2,2,1,3,4,1
60000574-01,2,2,2,2,3,4,3,2,1
60000578-03,5,2,3,2,2,4,2,2,1
60000581-02,2,3,3,1,1,1,3,1,4
60000586-01,2,3,4,3,3,3,3,1,2
60000587-01,3,1,3,1,2,2,2,3,2
60000588-01,1,1,1,1,2,2,4,4,1
60000590-02,3,3,2,2,2,3,2,2,2
60000593-01,3,2,4,2,3,1,3,3,1
60000595-02,3,2,2,2,2,2,3,3,1
60000601-01,4,2,3,2,3,2,3,2,1
60000602-01,4,2,4,4,3,1,1,2,1
60000604-01,2,4,4,2,3,3,2,1,1
60000608-03,4,4,3,2,3,4,4,2,2
60000614-01,3,2,4,2,2,4,2,2,1
60000616-03,3,3,4,2,2,3,2,3,1
60000619-01,3,2,4,2,2,2,2,2,1
60000620-02,3,3,2,2,2,4,2,2,1
60000622-02,4,1,4,1,2,3,2,4,1
60000629-01,4,3,3,3,3,3,3,3,4
60000631-01,3,4,4,4,2,3,3,1,1
60000635-01,3,4,3,1,4,3,1,3,1
60000637-01,2,2,2,1,2,2,2,2,2
60000640-01,3,2,3,2,3,2,4,3,1
60000641-01,3,2,1,1,1,2,2,2,1
60000643-03,5,4,4,4,4,4,4,3,1
60000647-02,3,2,3,2,2,3,2,2,1
60000651-01,4,2,3,3,1,3,4,4,1
60000652-01,3,2,2,2,3,1,3,1,1
60000654-01,3,2,4,2,4,2,4,3,1
60000655-01,-9,1,1,2,-9,2,4,5,1
60000656-03,3,3,4,4,3,1,4,4,2
60000657-01,5,4,3,2,4,1,4,4,2
60000661-01,3,2,2,2,2,2,2,3,1
60000662-01,4,4,4,2,2,2,4,4,1
60000665-01,4,3,3,2,3,3,3,2,1
60000669-03,3,3,4,2,2,3,4,4,1
60000676-02,4,1,1,1,2,2,2,4,2
60000677-01,5,2,4,3,3,2,4,1,1
60000679-01,4,2,3,2,2,3,2,3,2
60000680-01,4,3,4,2,3,2,4,1,1
60000685-01,3,2,2,1,1,1,4,3,1
60000704-01,3,3,2,2,2,3,3,3,2
60000715-01,4,2,4,2,3,2,3,3,1
60000716-01,-9,1,2,2,2,2,2,3,1
60000717-01,4,2,3,1,4,2,4,3,2
60000718-02,2,4,1,3,4,4,1,1,1
60000723-01,4,2,4,1,2,2,2,3,1
60000724-01,3,2,3,2,2,3,4,2,1
60000725-01,4,2,3,2,3,3,3,2,1
60000726-01,4,3,2,1,3,2,1,4,1
60000727-01,4,2,3,1,4,2,2,3,1
60000733-01,3,3,4,4,2,4,2,4,1
60000736-03,3,2,4,4,2,3,4,3,2
60000738-01,5,1,4,2,3,3,4,4,2
60000745-01,3,2,2,1,3,2,3,2,2
60000747-01,3,2,3,2,2,1,2,2,1
60000755-03,4,2,2,2,2,2,1,4,1
60000757-02,4,2,2,2,3,2,3,3,1
60000758-01,3,2,3,3,3,3,3,2,1
60000760-01,4,2,3,2,3,3,3,2,1
60000765-03,3,2,4,3,4,4,4,1,1
60000768-02,5,1,3,1,3,3,3,4,1
60000770-01,-9,1,-9,1,-9,1,-9,-9,2
60000771-02,3,2,2,-9,4,1,2,1,2
60000772-01,3,3,4,2,3,3,4,1,1
60000774-01,3,2,2,3,3,3,3,3,1
60000777-01,2,3,4,3,2,2,4,2,2
60000778-02,4,3,4,1,3,4,4,5,1
60000785-02,3,2,4,3,3,4,4,2,1
60000786-01,3,2,2,2,2,3,3,3,2
60000787-01,4,2,3,3,3,2,3,1,1
60000788-02,4,4,4,1,2,3,2,2,2
60000791-01,4,3,2,2,2,-9,3,4,1
60000792-01,4,1,3,2,2,1,2,4,1
60000795-01,1,3,4,2,3,2,1,2,2
60000797-02,3,2,2,2,2,3,2,3,1
60000800-02,3,4,3,3,3,4,3,2,1
60000801-01,3,1,3,2,4,3,3,1,4
60000802-01,3,2,4,3,3,3,4,3,1
60000804-01,2,2,3,1,4,2,2,1,1
60000806-01,5,3,4,2,2,2,4,5,1
60000807-02,4,1,3,1,4,2,1,5,2
60000809-02,3,3,4,4,1,3,3,4,1
60000820-03,1,4,4,4,2,4,2,1,2
60000826-02,1,3,3,3,3,2,3,2,1
60000831-01,3,2,4,2,2,3,4,3,1
60000838-01,3,2,3,3,4,3,2,1,1
60000841-01,1,2,2,2,2,2,2,1,1
60000842-03,2,2,1,3,3,2,2,3,2
60000843-01,3,1,4,3,3,3,4,3,2
60000845-02,3,1,2,2,2,1,3,3,1
60000851-01,4,4,3,2,4,3,3,2,1
60000853-01,5,3,4,2,2,4,4,3,1
60000856-02,1,1,4,2,3,2,3,1,2
60000860-01,3,4,4,4,4,2,3,2,1
60000861-01,3,2,2,2,2,2,4,3,1
60000862-01,1,3,4,2,2,1,4,5,1
60000863-01,3,2,3,2,2,3,3,2,1
60000866-01,3,2,3,2,3,2,2,4,1
60000868-02,3,4,4,3,3,4,4,2,-9
60000869-01,5,1,3,2,2,2,4,3,1
60000872-01,3,2,4,1,2,2,1,2,2
60000879-01,3,2,2,2,3,3,3,3,1
60000880-01,2,2,4,2,3,1,4,2,2
60000883-01,4,2,3,1,2,2,2,2,1
60000884-01,3,2,4,3,4,4,3,3,1
60000893-01,2,3,3,2,3,4,3,1,2
60000899-01,3,2,2,-9,-9,-9,-9,-9,-9
60000902-03,4,2,3,3,3,3,3,2,1
60000909-01,-9,4,4,3,3,3,3,2,1
60000921-01,3,2,4,1,4,2,3,2,1
60000922-01,4,1,1,2,1,2,3,5,1
60000923-01,3,4,4,4,3,3,3,2,1
60000930-01,3,3,3,2,3,3,3,2,2
60000933-02,-9,2,1,1,1,1,1,3,1
60000943-03,2,2,2,2,2,3,2,1,1
60000944-01,3,2,2,2,2,2,3,2,1
60000946-01,3,2,3,2,4,1,3,4,1
60000951-01,3,1,2,1,1,2,3,2,1
60000953-01,1,2,3,2,2,1,1,1,2
60000959-01,1,4,2,2,2,4,4,1,1
60000960-01,4,1,3,2,2,1,2,4,1
60000961-01,3,2,2,2,3,1,2,1,1
60000962-01,-9,-9,-9,-9,-9,-9,-9,-9,-9
60000964-01,1,3,3,1,2,4,1,1,2
60000965-02,3,4,4,2,2,3,4,3,1
60000968-01,4,3,3,2,2,1,3,4,1
60000970-01,-9,-9,-9,-9,-9,-9,-9,-9,-9
60000971-01,3,4,2,2,2,4,2,3,1
60000973-03,5,2,4,1,4,4,2,4,1
60000976-02,3,3,3,3,3,3,3,3,1
60000977-02,4,1,2,2,2,2,4,4,1
60000979-01,3,4,4,4,3,3,3,1,1
60000980-01,3,1,3,2,4,2,3,2,2
60000981-01,4,2,3,2,2,1,3,4,1
60000987-01,2,2,4,3,2,2,4,2,1
60000988-01,4,2,3,2,3,2,4,3,-9
60000990-03,3,2,3,1,2,2,3,2,1
60000993-01,4,3,3,3,2,2,3,3,1
60000995-01,3,4,3,1,4,4,4,1,1
60000997-02,3,3,4,2,3,2,3,4,1
60001000-01,5,2,3,2,2,3,2,5,1
60001004-02,3,1,2,2,1,2,1,2,1
60001007-01,4,3,4,3,3,3,2,2,1
60001008-01,4,4,4,4,2,4,4,1,1
60001012-02,4,1,3,3,4,2,4,3,1
60001013-01,3,3,3,3,3,2,1,1,1
60001015-01,5,2,2,1,1,2,2,4,1
60001017-01,3,2,3,2,3,1,2,4,1
60001019-01,1,2,2,2,2,2,1,1,1
60001021-01,5,1,3,1,1,1,1,3,1
60001026-01,3,2,3,2,2,2,3,2,1
60001031-02,3,2,4,3,1,1,1,3,1
60001032-01,4,3,3,3,3,3,2,3,1
60001033-01,4,2,3,1,2,2,2,3,4
60001037-01,3,4,1,2,3,2,4,3,1
60001040-02,1,1,4,1,3,2,2,3,1
60001045-01,4,2,3,2,3,3,4,4,1
60001046-01,4,2,2,2,3,2,2,3,1
60001047-01,3,3,4,3,4,2,3,3,1
60001050-01,3,1,2,1,3,1,2,5,1
60001051-01,3,3,4,3,3,2,3,2,1
60001055-02,3,4,4,4,4,4,3,2,1
60001059-01,1,4,4,4,4,4,4,1,1
60001060-01,3,3,4,4,2,3,4,3,2
60001063-01,3,3,3,3,1,3,3,3,1
60001064-01,3,4,4,4,4,4,1,1,1
60001066-01,4,3,3,3,3,2,3,2,1
60001071-01,3,2,3,2,2,2,3,3,1
60001073-03,4,4,3,3,3,3,2,2,1
60001074-01,4,1,3,4,4,3,2,1,1
60001081-01,5,2,3,2,3,1,2,4,1
60001082-01,3,2,3,2,3,3,4,3,1
60001086-01,4,1,3,4,3,3,4,4,1
60001089-01,3,4,4,3,3,4,2,3,1
60001090-02,3,2,4,1,2,3,4,2,2
60001095-02,4,2,3,2,2,3,4,4,1
60001101-02,4,2,4,2,2,4,4,1,1
60001106-01,4,1,3,2,3,4,4,4,1
60001107-01,3,2,4,1,3,3,2,4,1
60001109-01,5,2,3,2,1,1,4,5,1
60001111-02,4,1,2,2,2,2,2,1,1
60001115-01,4,2,3,2,3,4,4,2,2
60001118-02,4,2,2,2,2,4,2,3,-9
60001120-01,3,2,2,2,3,3,3,2,1
60001124-01,4,2,3,4,3,3,1,3,1
60001125-01,1,1,3,2,2,1,4,3,1
60001128-02,3,2,2,2,2,2,2,2,2
60001131-01,2,3,4,2,1,3,3,3,2
60001136-01,3,2,3,1,1,1,1,4,1
60001145-01,3,3,3,3,2,3,3,2,2
60001146-01,4,2,3,3,3,2,3,2,1
60001147-02,3,3,3,3,2,2,4,3,1
60001148-02,1,2,3,2,3,1,3,1,2
60001149-01,2,1,3,2,3,1,2,5,1
60001157-01,3,3,4,2,3,2,3,3,1
60001159-01,4,2,3,1,4,4,4,2,1
60001160-01,5,1,3,3,3,4,4,3,1
60001163-03,1,1,3,1,3,1,1,1,2
60001166-01,4,2,3,1,4,1,3,2,1
60001167-03,1,1,2,2,4,4,4,2,2
60001172-02,4,1,3,2,2,3,3,1,1
60001174-01,4,4,3,3,3,2,4,4,2
60001177-01,3,3,3,3,2,3,4,2,1
60001187-01,4,4,4,3,3,1,4,3,1
60001189-01,2,3,4,3,3,4,4,1,2
60001194-02,4,2,3,3,3,3,3,4,1
60001195-02,3,4,4,2,2,2,4,2,2
60001199-01,4,2,3,2,2,1,3,2,1
60001200-01,1,4,4,4,1,4,4,1,1
60001202-01,4,2,3,2,3,2,2,3,1
60001213-01,3,3,3,2,3,3,4,4,1
60001218-01,4,3,2,2,3,1,4,5,1
60001219-01,5,1,3,1,1,2,4,5,1
60001222-01,4,2,4,3,3,2,4,4,1
60001224-01,5,2,3,1,3,2,3,2,1
60001225-01,5,2,4,2,2,2,3,4,1
60001227-01,3,1,2,1,2,1,2,2,1
60001228-01,5,1,4,1,1,1,4,5,1
60001235-03,3,3,3,2,4,3,3,2,1
60001239-01,3,2,3,2,3,2,3,2,1
60001242-03,3,3,4,2,3,4,4,2,1
60001244-02,4,2,4,3,3,1,3,3,1
60001245-02,5,3,4,2,1,2,4,4,1
60001248-01,3,2,4,1,3,2,2,4,1
60001250-01,3,2,4,2,3,2,2,3,1
60001251-03,3,2,2,2,3,2,4,3,1
60001253-01,3,4,4,4,2,2,4,2,1
60001256-01,3,2,3,1,3,4,3,2,1
60001257-02,2,3,3,3,3,3,1,2,1
60001264-01,4,1,1,1,1,1,1,5,1
60001265-01,3,2,3,1,2,1,3,3,1
60001269-01,3,4,3,1,3,2,3,3,2
60001274-01,2,1,1,1,1,1,1,3,2
60001276-01,3,4,4,3,4,3,3,2,1
60001278-01,4,3,3,1,2,4,4,2,1
60001279-01,4,2,2,2,3,2,3,3,1
60001283-02,4,3,3,2,3,4,1,4,1
60001287-02,2,2,2,2,2,2,3,4,2
60001289-01,4,3,4,3,4,4,3,1,1
60001293-01,3,2,3,1,3,3,1,2,1
60001294-01,3,3,4,2,2,1,2,2,1
60001298-02,3,2,4,3,3,3,3,2,1
60001300-01,4,1,3,3,3,1,3,4,1
60001301-01,4,2,3,2,3,2,2,4,4
60001303-01,4,4,3,1,4,3,2,3,1
60001305-02,2,4,3,3,2,3,4,1,-9
60001306-02,5,2,2,3,3,3,4,4,1
60001308-02,3,4,4,2,4,1,4,1,1
60001309-02,4,1,4,2,1,1,1,2,1
60001310-01,5,1,4,3,4,3,2,3,1
60001315-01,1,2,4,2,3,4,4,2,1
60001316-02,4,3,4,4,2,3,4,2,1
60001318-01,3,2,3,2,2,3,2,3,4
60001321-01,2,2,2,1,2,1,2,3,1
60001322-02,3,2,3,2,4,2,4,4,2
60001323-01,3,3,4,3,3,2,4,1,1
60001325-01,4,2,3,2,2,4,4,2,1
60001329-01,3,3,4,4,3,3,4,2,1
60001333-01,3,2,4,4,3,2,4,4,1
60001334-02,3,3,2,2,3,4,3,1,2
60001339-02,3,2,3,2,2,2,3,3,1
60001341-01,2,2,4,4,2,2,3,3,1
60001343-01,3,1,3,2,2,2,2,2,2
60001345-01,1,2,3,2,3,1,3,1,1
60001348-01,3,4,3,3,3,3,3,2,1
60001350-01,4,2,2,2,2,3,2,2,1
60001353-02,1,3,3,3,3,4,4,1,1
60001354-01,2,1,4,2,2,2,2,3,2
60001355-01,3,4,4,3,2,3,4,2,1
60001361-03,3,2,4,2,3,3,3,2,2
60001363-01,3,1,1,1,1,1,1,2,1
60001364-01,3,1,1,1,1,2,2,2,1
60001366-02,4,3,3,3,4,4,4,2,1
60001369-01,4,3,3,2,2,4,4,4,1
60001370-03,3,2,-9,1,-9,2,2,3,1
60001371-01,3,4,3,2,4,4,3,2,1
60001373-01,3,4,4,2,4,4,3,2,2
60001374-01,3,2,4,2,2,1,4,1,1
60001377-01,2,2,2,2,2,4,4,1,1
60001379-02,1,3,3,3,4,1,1,3,2
60001380-03,3,1,2,1,2,1,2,1,2
60001383-01,4,2,3,2,3,4,2,3,1
60001385-01,1,1,4,3,3,1,4,1,2
60001386-02,4,3,3,2,3,3,3,2,2
60001388-01,5,-9,3,2,-9,2,3,2,1
60001393-01,3,1,4,2,3,2,4,1,1
60001395-01,3,1,2,2,2,2,1,3,1
60001397-01,3,2,3,2,2,2,3,2,2
60001401-02,3,2,4,1,3,2,3,1,2
60001404-01,4,2,2,2,2,2,2,2,1
60001408-01,3,1,2,1,1,1,1,3,1
60001409-01,3,2,3,2,3,2,3,2,2
60001411-01,2,1,3,2,2,4,2,1,1
60001413-02,3,2,4,2,4,1,2,3,1
60001414-01,4,2,4,4,3,2,3,3,2
60001416-01,4,1,2,1,2,2,1,3,1
60001422-01,2,3,3,2,3,2,3,1,2
60001425-01,3,4,4,4,3,4,4,2,1
60001428-01,1,2,3,3,3,1,3,5,1
60001429-01,3,2,3,2,3,1,3,3,2
60001430-01,3,2,3,1,2,2,3,3,2
60001432-02,-9,2,1,4,1,1,4,-9,1
60001434-01,3,1,1,1,1,1,1,5,1
60001435-01,4,3,3,3,3,3,2,2,1
60001437-01,2,2,2,1,3,2,3,3,2
60001440-02,3,2,4,3,4,3,3,1,1
60001443-01,3,2,4,3,4,3,3,2,1
60001463-01,3,2,3,2,2,3,3,2,1
60001466-01,4,4,3,2,2,3,2,3,2
60001469-01,3,3,3,2,3,1,3,4,1
60001470-01,4,2,2,1,3,2,2,2,1
60001472-01,2,3,4,2,3,1,3,2,2
60001473-01,4,2,3,2,4,2,3,2,1
60001474-01,3,2,3,1,2,3,3,3,2
60001476-01,-9,4,1,-9,-9,1,3,2,1
60001477-03,3,1,1,1,1,1,2,1,2
60001482-01,3,4,4,4,4,3,4,3,1
60001490-02,4,3,3,2,2,4,4,3,1
60001495-01,4,2,4,2,2,4,4,2,2
60001497-02,4,1,1,2,1,1,4,4,1
60001500-01,3,3,3,2,3,2,2,1,2
60001507-01,1,3,3,2,2,2,1,3,4
60001510-01,4,3,3,2,3,2,2,4,1
60001514-01,4,2,4,1,1,4,4,2,1
60001515-01,3,2,3,2,3,2,3,3,1
60001523-02,4,2,3,2,2,3,2,3,1
60001524-02,3,2,3,2,1,4,3,3,1
60001525-02,4,2,3,2,3,3,3,3,1
60001530-01,4,2,1,1,2,2,2,1,1
60001547-01,4,2,3,2,3,2,3,4,1
60001548-01,3,2,2,2,2,3,3,3,1
60001549-01,4,3,4,3,3,2,4,3,1
60001560-03,1,2,3,3,2,2,1,3,1
60001562-02,4,2,2,1,4,1,2,4,1
60001564-01,3,1,3,2,4,2,2,3,1
60001566-01,4,2,2,2,2,1,1,3,2
60001567-02,4,1,2,1,3,1,1,5,1
60001568-01,4,2,3,2,3,3,3,2,1
60001570-01,3,3,3,2,2,2,4,1,1
60001573-01,3,4,3,3,3,2,3,3,1
60001574-01,3,2,4,2,3,2,4,3,1
60001575-01,1,1,2,2,4,1,2,4,1
60001577-01,3,2,2,2,-9,2,3,2,1
60001580-03,2,2,4,2,3,3,4,1,1
60001584-01,4,3,4,4,4,3,4,4,2
60001585-01,3,3,4,2,3,3,4,3,1
60001588-03,3,2,3,1,2,1,2,4,1
60001589-01,2,2,4,4,2,4,4,3,1
60001590-01,4,1,2,2,2,2,3,3,1
60001593-01,3,3,3,2,3,2,3,4,1
60001603-01,3,2,3,2,2,3,2,2,2
60001606-02,-9,-9,-9,-9,-9,-9,-9,-9,-9
60001607-01,2,1,1,1,2,1,1,5,1
60001609-01,3,2,3,2,2,3,4,2,1
60001610-01,4,3,4,3,2,4,4,3,1
60001611-01,3,2,4,4,3,2,2,2,1
60001612-01,4,2,2,2,1,1,1,5,4
60001616-01,3,2,3,1,2,1,2,4,2
60001620-01,3,2,2,1,1,4,4,2,1
60001624-01,4,4,3,2,4,3,4,3,1
60001625-01,4,2,3,3,2,2,3,4,1
60001627-01,3,4,4,4,4,4,4,1,1
60001631-01,3,3,4,3,3,4,2,2,4
60001637-01,4,3,4,3,2,2,3,4,2
60001640-01,3,3,3,3,3,3,3,4,1
60001642-01,2,2,3,2,2,1,2,2,1
60001644-01,4,2,2,2,2,2,2,4,1
60001645-02,3,4,-9,4,-9,4,3,1,1
60001652-03,-9,4,4,4,4,4,-9,1,1
60001665-01,5,2,4,1,2,3,4,3,1
60001671-03,3,4,4,4,4,3,2,2,1
60001680-01,3,2,2,2,2,2,1,2,1
60001681-03,-9,-9,2,2,2,2,2,2,2
60001682-01,4,-9,3,1,1,1,4,1,1
60001683-01,3,2,3,1,1,2,3,3,1
